ID	GO_term	GO_name
PF00490	GO:0004655	porphobilinogen synthase activity	function
PF03721	GO:0051287	NAD binding	function
PF03721	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	function
PF00474	GO:0022857	transmembrane transporter activity	function
PF00474	GO:0016020	membrane	component
PF00474	GO:0055085	transmembrane transport	process
PF00614	GO:0003824	catalytic activity	function
PF01429	GO:0003677	DNA binding	function
PF00898	GO:0005198	structural molecule activity	function
PF01405	GO:0009539	photosystem II reaction center	component
PF01405	GO:0009523	photosystem II	component
PF01405	GO:0016020	membrane	component
PF01405	GO:0015979	photosynthesis	process
PF00738	GO:0005198	structural molecule activity	function
PF01347	GO:0005319	lipid transporter activity	function
PF01347	GO:0006869	lipid transport	process
PF01125	GO:0005634	nucleus	component
PF00225	GO:0005524	ATP binding	function
PF00225	GO:0008017	microtubule binding	function
PF00225	GO:0003777	microtubule motor activity	function
PF00225	GO:0007018	microtubule-based movement	process
PF00378	GO:0003824	catalytic activity	function
PF00215	GO:0004590	orotidine-5'-phosphate decarboxylase activity	function
PF00215	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	process
PF00933	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00933	GO:0005975	carbohydrate metabolic process	process
PF00484	GO:0004089	carbonate dehydratase activity	function
PF00484	GO:0008270	zinc ion binding	function
PF00250	GO:0003700	DNA-binding transcription factor activity	function
PF00250	GO:0006355	regulation of DNA-templated transcription	process
PF00250	GO:0043565	sequence-specific DNA binding	function
PF01079	GO:0016540	protein autoprocessing	process
PF01364	GO:0006508	proteolysis	process
PF01364	GO:0008234	cysteine-type peptidase activity	function
PF01414	GO:0016020	membrane	component
PF01414	GO:0007154	cell communication	process
PF01247	GO:0003735	structural constituent of ribosome	function
PF01247	GO:0005840	ribosome	component
PF01247	GO:0006412	translation	process
PF02119	GO:0005198	structural molecule activity	function
PF02119	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	component
PF02119	GO:0071973	bacterial-type flagellum-dependent cell motility	process
PF02119	GO:0030288	outer membrane-bounded periplasmic space	component
PF00952	GO:0019013	viral nucleocapsid	component
PF00978	GO:0003723	RNA binding	function
PF00978	GO:0003968	RNA-dependent RNA polymerase activity	function
PF00978	GO:0006351	DNA-templated transcription	process
PF00072	GO:0000160	phosphorelay signal transduction system	process
PF02123	GO:0003723	RNA binding	function
PF02123	GO:0003968	RNA-dependent RNA polymerase activity	function
PF02123	GO:0006351	DNA-templated transcription	process
PF00186	GO:0004146	dihydrofolate reductase activity	function
PF00186	GO:0046654	tetrahydrofolate biosynthetic process	process
PF00812	GO:0016020	membrane	component
PF01441	GO:0009279	cell outer membrane	component
PF00816	GO:0006355	regulation of DNA-templated transcription	process
PF00816	GO:0003677	DNA binding	function
PF00816	GO:0030527	structural constituent of chromatin	function
PF00897	GO:0019028	viral capsid	component
PF00897	GO:0005198	structural molecule activity	function
PF00071	GO:0003924	GTPase activity	function
PF00071	GO:0005525	GTP binding	function
PF00654	GO:0055085	transmembrane transport	process
PF00654	GO:0005247	voltage-gated chloride channel activity	function
PF00654	GO:0006821	chloride transport	process
PF00654	GO:0016020	membrane	component
PF00820	GO:0009279	cell outer membrane	component
PF00646	GO:0005515	protein binding	function
PF12937	GO:0005515	protein binding	function
PF13013	GO:0005515	protein binding	function
PF15966	GO:0005515	protein binding	function
PF00048	GO:0006955	immune response	process
PF00048	GO:0005576	extracellular region	component
PF00048	GO:0008009	chemokine activity	function
PF00913	GO:0042783	evasion of host immune response	process
PF00413	GO:0031012	extracellular matrix	component
PF00413	GO:0006508	proteolysis	process
PF00413	GO:0004222	metalloendopeptidase activity	function
PF00413	GO:0008270	zinc ion binding	function
PF00965	GO:0008191	metalloendopeptidase inhibitor activity	function
PF00982	GO:0003824	catalytic activity	function
PF00982	GO:0005992	trehalose biosynthetic process	process
PF00539	GO:0042025	host cell nucleus	component
PF00539	GO:0050434	positive regulation of viral transcription	process
PF00539	GO:0001070	RNA-binding transcription regulator activity	function
PF01376	GO:0005576	extracellular region	component
PF00019	GO:0008083	growth factor activity	function
PF02128	GO:0005615	extracellular space	component
PF02128	GO:0008270	zinc ion binding	function
PF02128	GO:0004222	metalloendopeptidase activity	function
PF01022	GO:0006355	regulation of DNA-templated transcription	process
PF01022	GO:0003700	DNA-binding transcription factor activity	function
PF00716	GO:0006508	proteolysis	process
PF00716	GO:0004252	serine-type endopeptidase activity	function
PF00949	GO:0003723	RNA binding	function
PF00949	GO:0005524	ATP binding	function
PF00949	GO:0003724	RNA helicase activity	function
PF02653	GO:0022857	transmembrane transporter activity	function
PF02653	GO:0016020	membrane	component
PF02653	GO:0055085	transmembrane transport	process
PF01323	GO:0016491	oxidoreductase activity	function
PF00831	GO:0006412	translation	process
PF00831	GO:0005840	ribosome	component
PF00831	GO:0003735	structural constituent of ribosome	function
PF00711	GO:0005576	extracellular region	component
PF00711	GO:0006952	defense response	process
PF01245	GO:0005840	ribosome	component
PF01245	GO:0006412	translation	process
PF01245	GO:0003735	structural constituent of ribosome	function
PF00064	GO:0016020	membrane	component
PF00064	GO:0055036	virion membrane	component
PF00064	GO:0005975	carbohydrate metabolic process	process
PF00064	GO:0004308	exo-alpha-sialidase activity	function
PF00064	GO:0033644	host cell membrane	component
PF01153	GO:0062023	collagen-containing extracellular matrix	component
PF01153	GO:0009966	regulation of signal transduction	process
PF01153	GO:0005886	plasma membrane	component
PF00318	GO:0003735	structural constituent of ribosome	function
PF00318	GO:0005840	ribosome	component
PF00318	GO:0006412	translation	process
PF00508	GO:0016032	viral process	process
PF00508	GO:0006355	regulation of DNA-templated transcription	process
PF00508	GO:0006275	regulation of DNA replication	process
PF00486	GO:0000160	phosphorelay signal transduction system	process
PF00486	GO:0003677	DNA binding	function
PF00486	GO:0006355	regulation of DNA-templated transcription	process
PF01289	GO:0015485	cholesterol binding	function
PF01252	GO:0004190	aspartic-type endopeptidase activity	function
PF01252	GO:0016020	membrane	component
PF01252	GO:0006508	proteolysis	process
PF00858	GO:0006814	sodium ion transport	process
PF00858	GO:0016020	membrane	component
PF00858	GO:0005272	sodium channel activity	function
PF01220	GO:0003855	3-dehydroquinate dehydratase activity	function
PF01335	GO:0005515	protein binding	function
PF01335	GO:0042981	regulation of apoptotic process	process
PF00098	GO:0008270	zinc ion binding	function
PF00098	GO:0003676	nucleic acid binding	function
PF02793	GO:0004930	G protein-coupled receptor activity	function
PF02793	GO:0016020	membrane	component
PF07645	GO:0005509	calcium ion binding	function
PF00693	GO:0004797	thymidine kinase activity	function
PF00693	GO:0006230	TMP biosynthetic process	process
PF00693	GO:0005524	ATP binding	function
PF01985	GO:0003723	RNA binding	function
PF00416	GO:0003735	structural constituent of ribosome	function
PF00416	GO:0006412	translation	process
PF00416	GO:0005840	ribosome	component
PF00416	GO:0003723	RNA binding	function
PF00839	GO:0016020	membrane	component
PF00617	GO:0007264	small GTPase mediated signal transduction	process
PF00617	GO:0005085	guanyl-nucleotide exchange factor activity	function
PF00939	GO:0055085	transmembrane transport	process
PF00939	GO:0022857	transmembrane transporter activity	function
PF00939	GO:0016020	membrane	component
PF00773	GO:0004540	ribonuclease activity	function
PF00773	GO:0003723	RNA binding	function
PF00584	GO:0006886	intracellular protein transport	process
PF00584	GO:0016020	membrane	component
PF00584	GO:0006605	protein targeting	process
PF00974	GO:0019031	viral envelope	component
PF01397	GO:0010333	terpene synthase activity	function
PF01397	GO:0016829	lyase activity	function
PF01352	GO:0006355	regulation of DNA-templated transcription	process
PF01156	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	function
PF01165	GO:0003735	structural constituent of ribosome	function
PF01165	GO:0006412	translation	process
PF01165	GO:0005840	ribosome	component
PF00163	GO:0019843	rRNA binding	function
PF01309	GO:0019031	viral envelope	component
PF01435	GO:0006508	proteolysis	process
PF01435	GO:0004222	metalloendopeptidase activity	function
PF00553	GO:0030246	carbohydrate binding	function
PF00553	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00553	GO:0005975	carbohydrate metabolic process	process
PF00322	GO:0005576	extracellular region	component
PF00322	GO:0019229	regulation of vasoconstriction	process
PF01249	GO:0006412	translation	process
PF01249	GO:0005840	ribosome	component
PF01249	GO:0003735	structural constituent of ribosome	function
PF00616	GO:0043087	regulation of GTPase activity	process
PF02151	GO:0005515	protein binding	function
PF00451	GO:0008200	ion channel inhibitor activity	function
PF00451	GO:0005576	extracellular region	component
PF02127	GO:0006508	proteolysis	process
PF02127	GO:0004177	aminopeptidase activity	function
PF02127	GO:0008270	zinc ion binding	function
PF01253	GO:0006413	translational initiation	process
PF01253	GO:0003743	translation initiation factor activity	function
PF00245	GO:0016791	phosphatase activity	function
PF00159	GO:0005576	extracellular region	component
PF00159	GO:0005179	hormone activity	function
PF00942	GO:0030248	cellulose binding	function
PF00942	GO:0005975	carbohydrate metabolic process	process
PF00733	GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	function
PF00733	GO:0006529	asparagine biosynthetic process	process
PF00434	GO:0019028	viral capsid	component
PF00768	GO:0006508	proteolysis	process
PF00768	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity	function
PF00411	GO:0006412	translation	process
PF00411	GO:0005840	ribosome	component
PF00411	GO:0003735	structural constituent of ribosome	function
PF01020	GO:0003735	structural constituent of ribosome	function
PF01020	GO:0006412	translation	process
PF01020	GO:0005840	ribosome	component
PF01282	GO:0003735	structural constituent of ribosome	function
PF01282	GO:0006412	translation	process
PF01282	GO:0005840	ribosome	component
PF01121	GO:0015937	coenzyme A biosynthetic process	process
PF01121	GO:0005524	ATP binding	function
PF01121	GO:0004140	dephospho-CoA kinase activity	function
PF00992	GO:0005861	troponin complex	component
PF01536	GO:0008295	spermidine biosynthetic process	process
PF01536	GO:0004014	adenosylmethionine decarboxylase activity	function
PF01536	GO:0006597	spermine biosynthetic process	process
PF00275	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	function
PF01271	GO:0030141	secretory granule	component
PF00375	GO:0016020	membrane	component
PF00375	GO:0015293	symporter activity	function
PF01299	GO:0016020	membrane	component
PF01304	GO:0031412	gas vesicle organization	process
PF01304	GO:0031411	gas vesicle	component
PF00658	GO:0003723	RNA binding	function
PF00906	GO:0005198	structural molecule activity	function
PF01318	GO:0005198	structural molecule activity	function
PF01318	GO:0019028	viral capsid	component
PF01311	GO:0006605	protein targeting	process
PF01311	GO:0016020	membrane	component
PF00446	GO:0005576	extracellular region	component
PF00446	GO:0005179	hormone activity	function
PF00446	GO:0007275	multicellular organism development	process
PF02383	GO:0016791	phosphatase activity	function
PF00790	GO:0043130	ubiquitin binding	function
PF00790	GO:0035091	phosphatidylinositol binding	function
PF00141	GO:0004601	peroxidase activity	function
PF00141	GO:0020037	heme binding	function
PF00141	GO:0006979	response to oxidative stress	process
PF00435	GO:0005515	protein binding	function
PF00699	GO:0043419	urea catabolic process	process
PF00699	GO:0035550	urease complex	component
PF00285	GO:0006099	tricarboxylic acid cycle	process
PF00285	GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer	function
PF00973	GO:0019013	viral nucleocapsid	component
PF00973	GO:0005198	structural molecule activity	function
PF00547	GO:0016151	nickel cation binding	function
PF00547	GO:0043419	urea catabolic process	process
PF00290	GO:0006568	tryptophan metabolic process	process
PF00290	GO:0004834	tryptophan synthase activity	function
PF00902	GO:0016020	membrane	component
PF02130	GO:0006364	rRNA processing	process
PF02130	GO:0004222	metalloendopeptidase activity	function
PF01270	GO:0005975	carbohydrate metabolic process	process
PF01270	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00865	GO:0001503	ossification	process
PF00865	GO:0007155	cell adhesion	process
PF00686	GO:2001070	starch binding	function
PF00036	GO:0005509	calcium ion binding	function
PF13202	GO:0005509	calcium ion binding	function
PF13405	GO:0005509	calcium ion binding	function
PF13499	GO:0005509	calcium ion binding	function
PF13833	GO:0005509	calcium ion binding	function
PF01183	GO:0003796	lysozyme activity	function
PF01183	GO:0016998	cell wall macromolecule catabolic process	process
PF01183	GO:0009253	peptidoglycan catabolic process	process
PF02064	GO:0005742	mitochondrial outer membrane translocase complex	component
PF02064	GO:0006886	intracellular protein transport	process
PF02064	GO:0006605	protein targeting	process
PF00313	GO:0003676	nucleic acid binding	function
PF00494	GO:0009058	biosynthetic process	process
PF00537	GO:0008200	ion channel inhibitor activity	function
PF00537	GO:0019871	sodium channel inhibitor activity	function
PF00537	GO:0005576	extracellular region	component
PF00714	GO:0006955	immune response	process
PF00714	GO:0005133	type II interferon receptor binding	function
PF00714	GO:0005576	extracellular region	component
PF00243	GO:0005102	signaling receptor binding	function
PF00233	GO:0007165	signal transduction	process
PF00233	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	function
PF01151	GO:0009922	fatty acid elongase activity	function
PF01151	GO:0016020	membrane	component
PF00158	GO:0006355	regulation of DNA-templated transcription	process
PF00158	GO:0005524	ATP binding	function
PF00158	GO:0008134	transcription factor binding	function
PF14532	GO:0006355	regulation of DNA-templated transcription	process
PF14532	GO:0005524	ATP binding	function
PF14532	GO:0008134	transcription factor binding	function
PF00917	GO:0005515	protein binding	function
PF01340	GO:0006555	methionine metabolic process	process
PF01340	GO:0003700	DNA-binding transcription factor activity	function
PF01340	GO:0006355	regulation of DNA-templated transcription	process
PF01239	GO:0018342	protein prenylation	process
PF01239	GO:0008318	protein prenyltransferase activity	function
PF00599	GO:0033644	host cell membrane	component
PF00599	GO:1902600	proton transmembrane transport	process
PF00599	GO:0055036	virion membrane	component
PF00599	GO:0015078	proton transmembrane transporter activity	function
PF00319	GO:0046983	protein dimerization activity	function
PF00319	GO:0003677	DNA binding	function
PF02063	GO:0005516	calmodulin binding	function
PF00963	GO:0000272	polysaccharide catabolic process	process
PF00963	GO:0030246	carbohydrate binding	function
PF00589	GO:0006310	DNA recombination	process
PF00589	GO:0015074	DNA integration	process
PF00589	GO:0003677	DNA binding	function
PF00404	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00404	GO:0000272	polysaccharide catabolic process	process
PF00241	GO:0003779	actin binding	function
PF00023	GO:0005515	protein binding	function
PF12796	GO:0005515	protein binding	function
PF13606	GO:0005515	protein binding	function
PF13637	GO:0005515	protein binding	function
PF13857	GO:0005515	protein binding	function
PF01372	GO:0004860	protein kinase inhibitor activity	function
PF01372	GO:0005576	extracellular region	component
PF00570	GO:0003676	nucleic acid binding	function
PF01553	GO:0016746	acyltransferase activity	function
PF01215	GO:0005740	mitochondrial envelope	component
PF01215	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	process
PF01215	GO:0005751	mitochondrial respiratory chain complex IV	component
PF00028	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	process
PF00028	GO:0016020	membrane	component
PF00028	GO:0005509	calcium ion binding	function
PF00282	GO:0016830	carbon-carbon lyase activity	function
PF00282	GO:0019752	carboxylic acid metabolic process	process
PF00282	GO:0030170	pyridoxal phosphate binding	function
PF00160	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	function
PF00160	GO:0000413	protein peptidyl-prolyl isomerization	process
PF00573	GO:0006412	translation	process
PF00573	GO:0005840	ribosome	component
PF00573	GO:0003735	structural constituent of ribosome	function
PF00506	GO:0005198	structural molecule activity	function
PF01343	GO:0008233	peptidase activity	function
PF01343	GO:0006508	proteolysis	process
PF01402	GO:0006355	regulation of DNA-templated transcription	process
PF00430	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	component
PF00430	GO:0015078	proton transmembrane transporter activity	function
PF00430	GO:0015986	proton motive force-driven ATP synthesis	process
PF00981	GO:0003723	RNA binding	function
PF01197	GO:0005840	ribosome	component
PF01197	GO:0006412	translation	process
PF01197	GO:0003735	structural constituent of ribosome	function
PF00075	GO:0003676	nucleic acid binding	function
PF00075	GO:0004523	RNA-DNA hybrid ribonuclease activity	function
PF13456	GO:0003676	nucleic acid binding	function
PF13456	GO:0004523	RNA-DNA hybrid ribonuclease activity	function
PF01122	GO:0015889	cobalamin transport	process
PF01122	GO:0031419	cobalamin binding	function
PF01130	GO:0016020	membrane	component
PF00197	GO:0004866	endopeptidase inhibitor activity	function
PF01174	GO:0042819	vitamin B6 biosynthetic process	process
PF01174	GO:0004359	glutaminase activity	function
PF01174	GO:0042823	pyridoxal phosphate biosynthetic process	process
PF00956	GO:0006334	nucleosome assembly	process
PF00956	GO:0005634	nucleus	component
PF00998	GO:0003723	RNA binding	function
PF00998	GO:0003968	RNA-dependent RNA polymerase activity	function
PF00998	GO:0039694	viral RNA genome replication	process
PF01752	GO:0005576	extracellular region	component
PF01752	GO:0006508	proteolysis	process
PF01752	GO:0004222	metalloendopeptidase activity	function
PF01752	GO:0008270	zinc ion binding	function
PF00057	GO:0005515	protein binding	function
PF02075	GO:0006281	DNA repair	process
PF02075	GO:0004520	DNA endonuclease activity	function
PF02075	GO:0006310	DNA recombination	process
PF00885	GO:0009231	riboflavin biosynthetic process	process
PF00885	GO:0009349	riboflavin synthase complex	component
PF00931	GO:0043531	ADP binding	function
PF02059	GO:0008083	growth factor activity	function
PF02059	GO:0006955	immune response	process
PF02059	GO:0005135	interleukin-3 receptor binding	function
PF02059	GO:0005576	extracellular region	component
PF02175	GO:0004888	transmembrane signaling receptor activity	function
PF02175	GO:0016020	membrane	component
PF02175	GO:0007606	sensory perception of chemical stimulus	process
PF00960	GO:0003677	DNA binding	function
PF00960	GO:0006952	defense response	process
PF00543	GO:0030234	enzyme regulator activity	function
PF00543	GO:0006808	regulation of nitrogen utilization	process
PF01267	GO:0051016	barbed-end actin filament capping	process
PF01267	GO:0008290	F-actin capping protein complex	component
PF01313	GO:0009306	protein secretion	process
PF01313	GO:0016020	membrane	component
PF01326	GO:0016301	kinase activity	function
PF01326	GO:0005524	ATP binding	function
PF01326	GO:0016310	phosphorylation	process
PF00959	GO:0009253	peptidoglycan catabolic process	process
PF00959	GO:0016998	cell wall macromolecule catabolic process	process
PF00959	GO:0003796	lysozyme activity	function
PF02954	GO:0043565	sequence-specific DNA binding	function
PF00964	GO:0005576	extracellular region	component
PF01075	GO:0016757	glycosyltransferase activity	function
PF00368	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	function
PF00368	GO:0015936	coenzyme A metabolic process	process
PF00521	GO:0005524	ATP binding	function
PF00521	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	function
PF00521	GO:0003677	DNA binding	function
PF00521	GO:0006265	DNA topological change	process
PF00344	GO:0016020	membrane	component
PF00344	GO:0015031	protein transport	process
PF00167	GO:0008083	growth factor activity	function
PF00500	GO:0005198	structural molecule activity	function
PF00500	GO:0019028	viral capsid	component
PF00201	GO:0008194	UDP-glycosyltransferase activity	function
PF00846	GO:0019013	viral nucleocapsid	component
PF00701	GO:0016829	lyase activity	function
PF00203	GO:0006412	translation	process
PF00203	GO:0005840	ribosome	component
PF00203	GO:0003735	structural constituent of ribosome	function
PF00014	GO:0004867	serine-type endopeptidase inhibitor activity	function
PF01073	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	function
PF01073	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	function
PF01073	GO:0006694	steroid biosynthetic process	process
PF00264	GO:0016491	oxidoreductase activity	function
PF16499	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF16499	GO:0005975	carbohydrate metabolic process	process
PF01733	GO:0005337	nucleoside transmembrane transporter activity	function
PF01733	GO:1901642	nucleoside transmembrane transport	process
PF01733	GO:0016020	membrane	component
PF03509	GO:0007154	cell communication	process
PF03509	GO:0005922	connexin complex	component
PF00986	GO:0003677	DNA binding	function
PF00986	GO:0006265	DNA topological change	process
PF00986	GO:0005524	ATP binding	function
PF00986	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	function
PF13520	GO:0055085	transmembrane transport	process
PF13520	GO:0016020	membrane	component
PF13520	GO:0022857	transmembrane transporter activity	function
PF00133	GO:0004812	aminoacyl-tRNA ligase activity	function
PF00133	GO:0000166	nucleotide binding	function
PF00133	GO:0005524	ATP binding	function
PF00133	GO:0006418	tRNA aminoacylation for protein translation	process
PF00579	GO:0006418	tRNA aminoacylation for protein translation	process
PF00579	GO:0005524	ATP binding	function
PF00579	GO:0000166	nucleotide binding	function
PF00579	GO:0004812	aminoacyl-tRNA ligase activity	function
PF02091	GO:0005737	cytoplasm	component
PF02091	GO:0005524	ATP binding	function
PF02091	GO:0004820	glycine-tRNA ligase activity	function
PF02091	GO:0000166	nucleotide binding	function
PF02091	GO:0006426	glycyl-tRNA aminoacylation	process
PF00587	GO:0004812	aminoacyl-tRNA ligase activity	function
PF00587	GO:0000166	nucleotide binding	function
PF00587	GO:0005524	ATP binding	function
PF00587	GO:0006418	tRNA aminoacylation for protein translation	process
PF01409	GO:0005524	ATP binding	function
PF01409	GO:0043039	tRNA aminoacylation	process
PF01409	GO:0004812	aminoacyl-tRNA ligase activity	function
PF01409	GO:0000049	tRNA binding	function
PF01322	GO:0020037	heme binding	function
PF01322	GO:0005506	iron ion binding	function
PF01322	GO:0009055	electron transfer activity	function
PF01333	GO:0009055	electron transfer activity	function
PF01333	GO:0042651	thylakoid membrane	component
PF01333	GO:0015979	photosynthesis	process
PF01333	GO:0005506	iron ion binding	function
PF01333	GO:0020037	heme binding	function
PF02167	GO:0009055	electron transfer activity	function
PF02167	GO:0020037	heme binding	function
PF00941	GO:0016491	oxidoreductase activity	function
PF00050	GO:0005515	protein binding	function
PF07648	GO:0005515	protein binding	function
PF02087	GO:0051381	histamine binding	function
PF02087	GO:0070026	nitric oxide binding	function
PF00727	GO:0008083	growth factor activity	function
PF00727	GO:0006955	immune response	process
PF00727	GO:0005576	extracellular region	component
PF00727	GO:0005136	interleukin-4 receptor binding	function
PF00879	GO:0006952	defense response	process
PF00551	GO:0009058	biosynthetic process	process
PF00137	GO:0015078	proton transmembrane transporter activity	function
PF00137	GO:1902600	proton transmembrane transport	process
PF00137	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	component
PF00118	GO:0005524	ATP binding	function
PF00116	GO:0004129	cytochrome-c oxidase activity	function
PF00116	GO:0005507	copper ion binding	function
PF00116	GO:0016020	membrane	component
PF02088	GO:0007155	cell adhesion	process
PF02088	GO:0005576	extracellular region	component
PF02088	GO:0030193	regulation of blood coagulation	process
PF02137	GO:0004000	adenosine deaminase activity	function
PF02137	GO:0006396	RNA processing	process
PF02137	GO:0003723	RNA binding	function
PF00930	GO:0006508	proteolysis	process
PF01472	GO:0003723	RNA binding	function
PF01474	GO:0009073	aromatic amino acid family biosynthetic process	process
PF01474	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	function
PF01475	GO:0003700	DNA-binding transcription factor activity	function
PF01475	GO:0006355	regulation of DNA-templated transcription	process
PF01480	GO:0006397	mRNA processing	process
PF01481	GO:0019013	viral nucleocapsid	component
PF01484	GO:0042302	structural constituent of cuticle	function
PF01486	GO:0003700	DNA-binding transcription factor activity	function
PF01486	GO:0005634	nucleus	component
PF01486	GO:0006355	regulation of DNA-templated transcription	process
PF01493	GO:0016491	oxidoreductase activity	function
PF01496	GO:0046961	proton-transporting ATPase activity, rotational mechanism	function
PF01496	GO:1902600	proton transmembrane transport	process
PF01496	GO:0033179	proton-transporting V-type ATPase, V0 domain	component
PF01498	GO:0006313	transposition, DNA-mediated	process
PF01498	GO:0015074	DNA integration	process
PF01498	GO:0003677	DNA binding	function
PF01499	GO:0019072	viral genome packaging	process
PF01499	GO:0019028	viral capsid	component
PF01500	GO:0045095	keratin filament	component
PF13885	GO:0045095	keratin filament	component
PF01501	GO:0016757	glycosyltransferase activity	function
PF01502	GO:0000105	histidine biosynthetic process	process
PF01502	GO:0004635	phosphoribosyl-AMP cyclohydrolase activity	function
PF01504	GO:0016307	phosphatidylinositol phosphate kinase activity	function
PF01504	GO:0046488	phosphatidylinositol metabolic process	process
PF01507	GO:0003824	catalytic activity	function
PF01509	GO:0006396	RNA processing	process
PF01510	GO:0009253	peptidoglycan catabolic process	process
PF01510	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	function
PF01513	GO:0006741	NADP biosynthetic process	process
PF01513	GO:0003951	NAD+ kinase activity	function
PF01515	GO:0016746	acyltransferase activity	function
PF01517	GO:0003723	RNA binding	function
PF01517	GO:0046718	viral entry into host cell	process
PF01518	GO:0003968	RNA-dependent RNA polymerase activity	function
PF01518	GO:0003727	single-stranded RNA binding	function
PF01520	GO:0009253	peptidoglycan catabolic process	process
PF01520	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	function
PF01522	GO:0005975	carbohydrate metabolic process	process
PF01522	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	function
PF01523	GO:0006508	proteolysis	process
PF01524	GO:0019048	modulation by virus of host process	process
PF01524	GO:0030430	host cell cytoplasm	component
PF01524	GO:0060967	negative regulation of gene silencing by RNA	process
PF01525	GO:0019079	viral genome replication	process
PF01525	GO:0016887	ATP hydrolysis activity	function
PF01525	GO:0000287	magnesium ion binding	function
PF01525	GO:0030430	host cell cytoplasm	component
PF01526	GO:0004803	transposase activity	function
PF01526	GO:0006313	transposition, DNA-mediated	process
PF01527	GO:0006313	transposition, DNA-mediated	process
PF01527	GO:0003677	DNA binding	function
PF01527	GO:0004803	transposase activity	function
PF01530	GO:0005634	nucleus	component
PF01530	GO:0006355	regulation of DNA-templated transcription	process
PF01530	GO:0008270	zinc ion binding	function
PF01531	GO:0016020	membrane	component
PF01531	GO:0005975	carbohydrate metabolic process	process
PF01531	GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	function
PF01533	GO:0019013	viral nucleocapsid	component
PF01538	GO:0004197	cysteine-type endopeptidase activity	function
PF01539	GO:0019031	viral envelope	component
PF01542	GO:0005198	structural molecule activity	function
PF01543	GO:0005198	structural molecule activity	function
PF01543	GO:0019028	viral capsid	component
PF01544	GO:0016020	membrane	component
PF01544	GO:0046873	metal ion transmembrane transporter activity	function
PF01544	GO:0055085	transmembrane transport	process
PF01544	GO:0030001	metal ion transport	process
PF01545	GO:0008324	monoatomic cation transmembrane transporter activity	function
PF01545	GO:0055085	transmembrane transport	process
PF01545	GO:0006812	monoatomic cation transport	process
PF01545	GO:0016020	membrane	component
PF01548	GO:0004803	transposase activity	function
PF01548	GO:0003677	DNA binding	function
PF01548	GO:0006313	transposition, DNA-mediated	process
PF01554	GO:0055085	transmembrane transport	process
PF01554	GO:0042910	xenobiotic transmembrane transporter activity	function
PF01554	GO:0015297	antiporter activity	function
PF01554	GO:0016020	membrane	component
PF01559	GO:0045735	nutrient reservoir activity	function
PF01561	GO:0044423	virion component	component
PF01561	GO:0019049	mitigation of host antiviral defense response	process
PF01563	GO:0019028	viral capsid	component
PF01563	GO:0055036	virion membrane	component
PF01563	GO:0004252	serine-type endopeptidase activity	function
PF01567	GO:0044423	virion component	component
PF01567	GO:0019049	mitigation of host antiviral defense response	process
PF01573	GO:0044156	host cell junction	component
PF01573	GO:0046740	transport of virus in host, cell to cell	process
PF01577	GO:0006508	proteolysis	process
PF01577	GO:0004197	cysteine-type endopeptidase activity	function
PF01578	GO:0020037	heme binding	function
PF01578	GO:0017004	cytochrome complex assembly	process
PF01580	GO:0005524	ATP binding	function
PF01580	GO:0003677	DNA binding	function
PF01580	GO:0000166	nucleotide binding	function
PF01581	GO:0007218	neuropeptide signaling pathway	process
PF01584	GO:0006935	chemotaxis	process
PF01584	GO:0007165	signal transduction	process
PF01588	GO:0000049	tRNA binding	function
PF01589	GO:0004252	serine-type endopeptidase activity	function
PF01589	GO:0055036	virion membrane	component
